"obs.num.ext" "ext.rnd.mean" "ext.rnd.lower" "ext.rnd.upper" "ext.z.value" "ext.p.value" "obs.ext.rank" "rank.mean" "rank.lower" "rank.upper" "rank.z.value" "rank.p.value" "neg.rank.z.value" "sis.score" "f_p"
"1" 3 6 6 6 -3e+05 0.001 2 3.5 3.5 3.5 -150000 0.001 150000 -75000 "1_1"
"2" 9 19.6306306306306 18 20 -18.0362267078101 0.001 5 10.5181311342302 10.3157894736842 10.8891812865497 -49.9023303493548 0.001 49.9023303493548 15.9330518207724 "1_10"
"3" 8 15.9269269269269 15 16 -30.4428947427109 0.001 4.5 8.50550550550551 8.5 8.6 -111.567290485934 0.001 111.567290485934 40.5621978716117 "1_11"
"4" 7 15.6216216216216 14 16 -14.6643120588419 0.001 4 8.50901524234858 8.2 8.86666666666667 -34.2093668438149 0.001 34.2093668438149 9.77252739248652 "1_12"
"5" 6 12.7537537537538 11 14 -6.99847935600267 0.001 4 7.61045789379123 7.0905303030303 8.18181818181818 -12.9978017356255 0.001 12.9978017356255 2.9996611898114 "1_13"
"6" 6 13.5215215215215 12 14 -12.043032612209 0.001 4.5 7.55809305809306 7.30769230769231 8 -18.9070221610576 0.001 18.9070221610576 3.43199477442426 "1_14"
"7" 6 13.9389389389389 13 14 -33.1393617405695 0.001 3.83333333333333 7.5049665049665 7.49807692307692 7.61538461538461 -81.886676244488 0.001 81.886676244488 24.3736572519592 "1_15"
"8" 6 11.2752752752753 9 13 -4.87357386721689 0.001 3.83333333333333 8.0543299904411 7.2 8.90909090909091 -9.65026478825593 0.001 9.65026478825593 2.38834546051952 "1_16"
"9" 6 11.978978978979 10 14 -4.92886204598437 0.001 8 15.2604719396386 13.8172727272727 16.9004545454545 -9.16532050650945 0.001 9.16532050650945 2.11822923026254 "1_17"
"10" 10 19.7517517517518 19 20 -20.4727730343487 0.001 5.5 10.4972252954709 10.2216374269006 10.8337719298246 -47.3927969028323 0.001 47.3927969028323 13.4600119342418 "1_18"
"11" 8 15.958958958959 15 16 -40.098635744329 0.001 4.5 8.4988988988989 8.49833333333333 8.5 -149.819220025299 0.001 149.819220025299 54.8602921404851 "1_19"
"12" 7 15.1011011011011 13 16 -9.54571965323888 0.001 4 8.57218745552079 8.2 9.07142857142857 -21.3598560204514 0.001 21.3598560204514 5.90706818360624 "1_2"
"13" 7 13.3963963963964 12 14 -9.08209802833681 0.001 4 7.58833285499952 7.38461538461539 8 -21.1996473682416 0.001 21.1996473682416 6.05877466995239 "1_20"
"14" 7 17.9369369369369 17 18 -44.2282618194777 0.001 5.42857142857143 9.50004048165813 9.47058823529412 9.50147058823529 -140.730421083598 0.001 140.730421083598 48.2510796320601 "1_21"
"15" 8 17.5745745745746 16 18 -16.0717821764076 0.001 4.5 9.51997119668688 9.23529411764706 9.94117647058824 -34.5187320691288 0.001 34.5187320691288 9.22347494636059 "1_22"
"16" 8 16.4644644644645 15 18 -9.01162094053505 0.001 4.5 9.82359331697567 9.375 10.4389583333333 -18.192881399519 0.001 18.192881399519 4.59063022949196 "1_23"
"17" 5 9.996996996997 10 10 -91.2781452275501 0.001 3 5.49961072183294 5.5 5.5 -326.508619592871 0.001 326.508619592871 117.61523718266 "1_24"
"18" 9 21.8008008008008 21 22 -29.8641988430025 0.001 5.77777777777778 11.502607369274 11.3333333333333 11.7505952380952 -76.1530701425958 0.001 76.1530701425958 23.1444356497966 "1_25"
"19" 7 12.9259259259259 11 14 -6.7973306307479 0.001 4 7.60814905814906 7.15384615384615 8.25 -13.1150048641634 0.001 13.1150048641634 3.15883711670773 "1_26"
"20" 5 13.0910910910911 11 14 -9.53444247204446 0.001 3.2 7.58972632305966 7.23076923076923 8.08333333333333 -19.5894774360534 0.001 19.5894774360534 5.02751748200445 "1_27"
