TRAITIDKEY,SPECIESID,GENUS,EPITHET,HMF CODE,F_Group,GENERAL FORM,FAMILY,ORIGIN,Height(m),Defenses,N-fixation,Mycorrhizae,Life_History,PI,LeafArea,WetMass,DryMass,NumberofLeaves,AvgLeafArea,AvgWetMass,AvgDryMass,WaterContent,SLA (cm^2/g),Start_FLR,Start_FLR1,End_FLR,End_FLR1,FlowerDuration,FLR_color,Pollination,Fruit,Dispersal,Vegetative,Seed Mass (mg),Seed Mass1 (mg),Seed Mass 2 (mg),Seed Mass 3 (mg),SeedSourceType,Raunkiaer,Grime,Leaf_N,Leaf_C,Leaf_P,Leaf_C:N,Leaf_K,Leaf_Ca,Leaf_Mg,delta_N,delta_C,1C_DNA_content
355,,Euphorbia,corolata,,,,,,0,FALSE,FALSE,No Info,,0,12.03,0.19,0.0641,11,1.093636339,0.017272727,0.005827272,74.77%,187.68,0,0,0,0,0,,,,,FALSE,0,0,0,0,,,,2.84,44.08,0.39,15.52,0.01,0.00,0.00,-2.87,-27.89,
357,,Artemisia,vulgaris,,,,Asteraceae,,2,FALSE,FALSE,No Info,,0,99.43,1.73,0.6008,7,14.20428576,0.24714286,0.085828568,74.22%,165.50,0,0,0,0,0,,,,,FALSE,0,0,0,0,,,,1.66,45.30,0.24,27.32,0.02,0.01,0.00,-0.75,-28.93,
112,5,Abutilon,theophrasti,Herb,Forb,Annual,Malvaceae,E,1.5,FALSE,FALSE,endomycorrhizal,Annual,,,,,1,,,,,,July,7,October,10,4,Yellow,Biotic,Dry,Abiotic,FALSE,9.0765,9.583,8.57,0,Diaspore,Therophyte,,4.16,39.82,0.40,9.58,0.02,0.01,0.00,0.23,-28.57,1.40
113,9,Acalypha,gracilens,Herb,Forb,Annual,Euphorbiaceae,N,0.5,FALSE,FALSE,No Info,Annual,0,0,0,0,1,0,0,0,0.00%,0.00,July,7,October,10,4,Green,Abiotic,Dry,Abiotic,FALSE,0,,,,,Therophyte,,,,,,,,,,,
99,10,Acalypha,rhomboidea,Herb,Forb,Annual,Euphorbiaceae,N,0.6,FALSE,FALSE,No Info,Annual,0,19.82,0.14,0.04,10,1.981999969,0.014,0.004,77.78%,495.50,July,7,October,10,4,Green,Abiotic,Dry,Abiotic,FALSE,0.865,0.865,0,0,Seed,Therophyte,,3.66,39.62,0.40,10.82,0.02,0.02,0.01,-2.69,-33.54,
114,11,Acalypha,virginica,Herb,Forb,Annual,Euphorbiaceae,N,0.6,FALSE,FALSE,No Info,Annual,0,0,0,0,1,0,0,0,0.00%,0.00,July,7,October,10,4,Green,Abiotic,Dry,Abiotic,FALSE,0.6,0.6,0,0,Diaspore,Therophyte,,,,,,,,,,,
21,15,Acer,negundo,Tree,Tree,Tree,Aceraceae,N,20,FALSE,FALSE,endomycorrhizal,Perennial,0,1081.25,19.27,5.23,10,108.125,1.927000046,0.523000002,78.65%,206.74,April,4,May,5,2,Green,Abiotic,Dry,Abiotic,FALSE,39.1,39.1,0,0,Seed,Phanerophyte,,2.26,46.51,0.18,20.57,0.01,0.01,0.00,-2.04,-28.66,0.54
115,16,Acer,saccharinum,Tree,Tree,Tree,Aceraceae,N,30,FALSE,FALSE,No Info,Perennial,0,466.11,8.47,3.53,7,66.58714076,1.210000038,0.50428571,70.58%,132.04,April,4,May,5,2,Green,Abiotic,Dry,Abiotic,FALSE,254.83,254.83,0,0,,Phanerophyte,,,,,,,,,,,1.20
149,17,Acer,platanoides,Tree,Tree,Tree,Aceraceae,E,15,FALSE,FALSE,endomycorrhizal,Perennial,0,629.11,8.3,3.13,5,125.8219971,1.660000038,0.626000023,72.62%,200.99,April,4,May,5,2,Green,Abiotic,Dry,Abiotic,FALSE,158.6,158.6,0,0,,Phanerophyte,,2.30,45.82,0.19,19.92,0.01,0.01,0.00,-2.99,-29.03,0.71
150,18,Acer,saccharum,Tree,Tree,Tree,Aceraceae,N,40,FALSE,FALSE,endomycorrhizal,Perennial,0,1051.26,11.83,4.99,11,95.5690918,1.075454539,0.453636343,70.33%,210.67,April,4,May,5,2,Green,Abiotic,Dry,Abiotic,FALSE,58.5,58.5,,,Seed,Phanerophyte,,,,,,,,,,,0.70
3,20,Acer,rubrum,Tree,Tree,Tree,Aceraceae,N,35,FALSE,FALSE,endomycorrhizal,Perennial,0,414.04,6.2,2.3,10,41.40400085,0.619999981,0.229999995,72.94%,180.02,March,3,April,4,2,Red,Abiotic,Dry,Abiotic,FALSE,17.514,17.514,0,0,,Phanerophyte,,1.56,47.93,0.12,30.74,0.01,0.01,0.00,-1.96,-29.25,1.70
71,25,Achillea,millefolium,Herb,Forb,Perennial,Asteraceae,N,1,FALSE,FALSE,endomycorrhizal,Perennial,0,141.31,9.01,2.35,12,11.77583313,0.750833352,0.195833325,79.31%,60.13,June,6,November,11,6,White,Biotic,Dry,Abiotic,TRUE,0.082,0.05,0.114,0,Seed,Chamaephyte,CSR to CR,1.58,43.31,0.32,27.45,0.02,0.00,0.00,-2.02,-30.15,7.65
166,26,Actaea,alba,,,,Rannunculaceae,,0.8,FALSE,FALSE,No Info,,0,0,0,0,,0,0,0,0.00%,0.00,May,0,July,0,0,White,Biotic,,Biotic,FALSE,0,0,0,0,,,,,,,,,,,,,10.70
15,30,Elytrigia,repens,Herb,Graminoid,Perennial,Poaceae,E,1,FALSE,FALSE,none,Perennial,0,43.41,0.79,0.31,10,4.340999985,0.079000002,0.031,71.82%,140.03,June,6,August,8,3,Green,Abiotic,Dry,Abiotic,TRUE,2.02,2.02,0,0,Diaspore,Geophyte,,1.91,40.07,0.39,20.98,0.03,0.00,0.00,1.08,-30.87,17.46
130,32,Agrostis,gigantea,Herb,Graminoid,Perennial,Poaceae,E,1.5,FALSE,FALSE,endomycorrhizal,Perennial,0,322.3,3.85,1.13,12,26.85833232,0.320833325,0.094166666,77.31%,285.22,June,6,August,8,3,Green,Abiotic,Dry,Abiotic,TRUE,0.09,0.09,0,0,Diaspore,Hemicryptophyte,,,,,,,,,,,0.70
