ID,Field,Plot,X,Y
C3-1,1,1,231,204
C3-2,1,2,241,204
C3-3,1,3,251,204
C3-4,1,4,261,204
C3-5,1,5,271,204
C3-6,1,6,281,204
C3-7,1,7,291,204
C3-8,1,8,294,212
C3-9,1,9,284,212
C3-10,1,10,274,212
C3-11,1,11,264,212
C3-12,1,12,254,212
C3-13,1,13,244,212
C3-14,1,14,234,212
C3-15,1,15,231,220
C3-16,1,16,241,220
C3-17,1,17,251,220
C3-18,1,18,261,220
C3-19,1,19,271,220
C3-20,1,20,281,220
C3-21,1,21,291,220
C3-22,1,22,294,228
C3-23,1,23,284,228
C3-24,1,24,274,228
C3-25,1,25,264,228
C3-26,1,26,254,228
C3-27,1,27,244,228
C3-28,1,28,234,228
C3-29,1,29,231,236
C3-30,1,30,241,236
C3-31,1,31,251,236
C3-32,1,32,261,236
C3-33,1,33,271,236
C3-34,1,34,281,236
C3-35,1,35,291,236
C3-36,1,36,294,244
C3-37,1,37,284,244
C3-38,1,38,274,244
C3-39,1,39,264,244
C3-40,1,40,254,244
C3-41,1,41,244,244
C3-42,1,42,234,244
C3-43,1,43,251,252
C3-44,1,44,261,252
C3-45,1,45,271,252
C3-46,1,46,281,252
C3-47,1,47,291,252
C3-48,1,48,294,261
C4-1,2,1,306,204
C4-2,2,2,316,204
C4-3,2,3,326,204
C4-4,2,4,336,204
C4-5,2,5,346,204
C4-6,2,6,356,204
C4-7,2,7,366,204
C4-8,2,8,376,204
C4-9,2,9,386,204
C4-10,2,10,396,204
C4-11,2,11,394,216
C4-12,2,12,384,216
C4-13,2,13,374,216
C4-14,2,14,364,216
C4-15,2,15,354,216
C4-16,2,16,344,216
C4-17,2,17,334,216
C4-18,2,18,324,216
C4-19,2,19,314,216
C4-20,2,20,304,216
C4-21,2,21,306,228
C4-22,2,22,316,228
C4-23,2,23,326,228
C4-24,2,24,336,228
C4-25,2,25,346,228
C4-26,2,26,356,228
C4-27,2,27,366,228
C4-28,2,28,376,228
C4-29,2,29,386,228
C4-30,2,30,396,228
C4-31,2,31,394,240
C4-32,2,32,384,240
C4-33,2,33,374,240
C4-34,2,34,364,240
C4-35,2,35,354,240
C4-36,2,36,344,240
C4-37,2,37,334,240
C4-38,2,38,324,240
C4-39,2,39,314,240
C4-40,2,40,304,240
C4-41,2,41,306,252
C4-42,2,42,316,252
C4-43,2,43,326,252
C4-44,2,44,336,252
C4-45,2,45,346,252
C4-46,2,46,356,252
C4-47,2,47,366,252
C4-48,2,48,376,252
C5-1,3,1,406,204
C5-2,3,2,416,204
C5-3,3,3,426,204
C5-4,3,4,436,204
C5-5,3,5,446,204
C5-6,3,6,456,204
C5-7,3,7,466,204
C5-8,3,8,476,204
C5-9,3,9,486,204
C5-10,3,10,496,204
C5-11,3,11,494,216
C5-12,3,12,484,216
C5-13,3,13,464,216
C5-14,3,14,454,216
C5-15,3,15,444,216
C5-16,3,16,434,216
C5-17,3,17,424,216
C5-18,3,18,414,216
C5-19,3,19,404,216
C5-20,3,20,406,228
C5-21,3,21,416,228
C5-22,3,22,426,228
C5-23,3,23,436,228
C5-24,3,24,446,228
C5-25,3,25,456,228
C5-26,3,26,466,228
C5-27,3,27,476,228
C5-28,3,28,496,228
C5-29,3,29,494,240
C5-30,3,30,484,240
C5-31,3,31,474,240
C5-32,3,32,464,240
C5-33,3,33,454,240
C5-34,3,34,444,240
C5-35,3,35,434,240
C5-36,3,36,424,240
C5-37,3,37,414,240
C5-38,3,38,404,240
C5-39,3,39,406,252
C5-40,3,40,416,252
C5-41,3,41,426,252
C5-42,3,42,436,252
C5-43,3,43,446,252
C5-44,3,44,456,252
C5-45,3,45,466,252
C5-46,3,46,424,264
C5-47,3,47,414,264
C5-48,3,48,404,264
C6-1,4,1,506,204
C6-2,4,2,516,204
C6-3,4,3,526,204
C6-4,4,4,536,204
C6-5,4,5,546,204
C6-6,4,6,556,204
C6-7,4,7,566,204
C6-8,4,8,576,204
C6-9,4,9,586,204
C6-10,4,10,594,204
C6-11,4,11,594,213
C6-12,4,12,584,213
C6-13,4,13,574,213
C6-14,4,14,564,213
C6-15,4,15,554,213
C6-16,4,16,544,213
C6-17,4,17,534,213
C6-18,4,18,524,213
C6-19,4,19,514,213
C6-20,4,20,504,213
C6-21,4,21,506,222
C6-22,4,22,516,222
C6-23,4,23,526,222
C6-24,4,24,536,222
C6-25,4,25,546,222
C6-26,4,26,556,222
C6-27,4,27,566,222
C6-28,4,28,576,222
C6-29,4,29,586,222
C6-30,4,30,594,222
C6-31,4,31,594,228
C6-32,4,32,584,228
C6-33,4,33,574,228
C6-34,4,34,564,228
C6-35,4,35,554,228
C6-36,4,36,544,228
C6-37,4,37,534,228
C6-38,4,38,524,228
C6-39,4,39,514,228
C6-40,4,40,504,228
C6-41,4,41,506,234
C6-42,4,42,516,234
C6-43,4,43,526,234
C6-44,4,44,536,234
C6-45,4,45,546,234
